model,name_dist,algo,time,epc,epc_std
ER,uniform,Greedy_ES_naive,27.96328450000001,1088.439697265625,0.0
ER,uniform,Greedy_ES_local,269.1684226,835.49205,0.0
ER,uniform,Greedy_MIS_naive,8.275813359999955,1083.92157,28.55678171172479
ER,uniform,Greedy_MIS_local,2278.6714382,851.5243800000001,35.83511624521539
ER,normal,Greedy_ES_naive,13.30696450000005,857.9965209960938,0.0
ER,normal,Greedy_ES_local,188.8478298,699.03765,0.0
ER,normal,Greedy_MIS_naive,7.983613490000062,1019.079315,20.32449575445907
ER,normal,Greedy_MIS_local,1865.0831339,704.348865,5.180579770356284
ER,beta,Greedy_ES_naive,4.217519900000298,88.99739837646484,0.0
ER,beta,Greedy_ES_local,25.773554299999887,89.262,0.0
ER,beta,Greedy_MIS_naive,3.870400749999953,106.147305,0.6179062867660448
ER,beta,Greedy_MIS_local,319.13672899999983,88.900965,0.6417425071825912
BA,uniform,Greedy_ES_naive,12.459599400000116,69.87644958496094,0.0
BA,uniform,Greedy_ES_local,32.76835050000045,69.9903,0.0
BA,uniform,Greedy_MIS_naive,3.8391627699999846,114.57495,1.0583385250003918
BA,uniform,Greedy_MIS_local,416.5748155000001,69.94683,0.2960278544326537
BA,normal,Greedy_ES_naive,12.519136200000505,65.89845275878906,0.0
BA,normal,Greedy_ES_local,24.51850999999988,65.8602,0.0
BA,normal,Greedy_MIS_naive,4.024521859999913,117.022635,0.2753600007717188
BA,normal,Greedy_MIS_local,417.3214233000008,70.03953,0.3262938301592592
BA,beta,Greedy_ES_naive,3.799056600000768,25.093799591064453,0.0
BA,beta,Greedy_ES_local,6.48693749999984,24.96825,0.0
BA,beta,Greedy_MIS_naive,2.897805579999931,34.395885,0.7697516180723495
BA,beta,Greedy_MIS_local,152.38878720000048,25.129845,0.0851811964285545
SW,uniform,Greedy_ES_naive,14.711967600000207,479.3908386230469,0.0
SW,uniform,Greedy_ES_local,100.88183130000016,474.129,0.0
SW,uniform,Greedy_MIS_naive,6.819852960000207,562.7471400000001,5.091542907498685
SW,uniform,Greedy_MIS_local,1250.7250588999996,439.60734,24.744976378093394
SW,normal,Greedy_ES_naive,13.774231299999885,725.214599609375,0.0
SW,normal,Greedy_ES_local,136.3909076,630.08145,0.0
SW,normal,Greedy_MIS_naive,7.660295640000095,822.402585,10.25181178533946
SW,normal,Greedy_MIS_local,1708.5577551999995,694.257345,9.621427967106792
SW,beta,Greedy_ES_naive,2.144695799999681,76.63050079345703,0.0
SW,beta,Greedy_ES_local,11.361968100000013,74.9007,0.0
SW,beta,Greedy_MIS_naive,4.157959870000013,75.12552000000001,0.8445058342604875
SW,beta,Greedy_MIS_local,181.1754880000008,74.693385,0.3286601763600243
ER,uniform,Degree-based,0.0013069000001451,865.116,
