model,p,algo,time,epc,epc_std
BA,0.0,Degree-based,0.0013792910003758152,0.0,0.0
BA,0.0,Betweenness,0.01042103899999347,0.0,0.0
BA,0.0,PageRank,0.0026066400005220203,0.0,0.0
BA,0.0,Greedy_ES_initial,0.015031013000225357,0.0,0.0
BA,0.0,Greedy_ES_final,0.16001878999941255,0.0,0.0
BA,0.0,Greedy_MIS_initial,0.308425275799982,0.0,0.0
BA,0.0,Greedy_MIS_final,3.9538755289995606,0.0,0.0
BA,0.0,REGA,7.5675426120005795,0.0,0.0
BA,0.0,grasp,1.1368617899997844,0.0,0.0
BA,0.0,grasp_path_relink,1.1980956220004373,0.0,0.0
BA,0.1,Degree-based,0.001169913000012457,8.3169,0.0
BA,0.1,Betweenness,0.00994709899987356,8.62785,0.0
BA,0.1,PageRank,0.002266641999995045,7.8408,0.0
BA,0.1,Greedy_ES_initial,0.0179689699998562,9.27855,0.0
BA,0.1,Greedy_ES_final,0.26110276600047655,8.1117,0.0
BA,0.1,Greedy_MIS_initial,0.290382495599988,9.86913,0.2692516779892001
BA,0.1,Greedy_MIS_final,5.561298132000047,8.220465,0.24398749768174596
BA,0.1,REGA,7.634725425000397,8.4411,0.0
BA,0.1,grasp,1.5924446590006482,8.01315,0.0
BA,0.1,grasp_path_relink,1.5625569929998164,8.10045,0.0
BA,0.2,Degree-based,0.0012559269998746458,19.7586,0.0
BA,0.2,Betweenness,0.010160560999793233,20.6748,0.0
BA,0.2,PageRank,0.0026093179994859383,18.66645,0.0
BA,0.2,Greedy_ES_initial,0.053919453999697,19.0116,0.0
BA,0.2,Greedy_ES_final,0.32640587800051435,18.46665,0.0
BA,0.2,Greedy_MIS_initial,0.3092454386001009,23.626125000000002,0.5333889027951366
BA,0.2,Greedy_MIS_final,6.117730926999684,18.875205,0.25801490407532623
BA,0.2,REGA,7.8639019640004335,18.3483,0.0
BA,0.2,grasp,1.9718646549999903,18.39645,0.0
BA,0.2,grasp_path_relink,2.008258358999228,18.6939,0.0
BA,0.30000000000000004,Degree-based,0.001673448000474309,35.92395,0.0
BA,0.30000000000000004,Betweenness,0.0102631729996574,37.6488,0.0
BA,0.30000000000000004,PageRank,0.0024265490001198486,32.6511,0.0
BA,0.30000000000000004,Greedy_ES_initial,0.1341527299991867,33.4251,0.0
BA,0.30000000000000004,Greedy_ES_final,0.48580005199983134,33.03765,0.0
BA,0.30000000000000004,Greedy_MIS_initial,0.2963016389000586,44.79138,0.6090491647642254
BA,0.30000000000000004,Greedy_MIS_final,7.010643491999872,33.070499999999996,0.38541778889926637
BA,0.30000000000000004,REGA,7.885659411000233,32.65875,0.0
BA,0.30000000000000004,grasp,2.7243181970006844,32.64975,0.0
BA,0.30000000000000004,grasp_path_relink,2.7484291030004897,32.6772,0.0
BA,0.4,Degree-based,0.0018535869994593668,59.9832,0.0
BA,0.4,Betweenness,0.01121394900019368,61.9515,0.0
BA,0.4,PageRank,0.002610460999676434,52.7733,0.0
BA,0.4,Greedy_ES_initial,0.24363657899993996,52.14015,0.0
BA,0.4,Greedy_ES_final,0.5578611520004415,52.4772,0.0
BA,0.4,Greedy_MIS_initial,0.3199358333999044,77.34865500000001,0.905683877092332
BA,0.4,Greedy_MIS_final,8.942211730000054,53.17344000000001,0.5996300842185962
BA,0.4,REGA,8.022164381999573,52.55055,0.0
BA,0.4,grasp,4.458620698999766,52.81965,0.0
BA,0.4,grasp_path_relink,5.2059128669998245,51.92235,0.0
BA,0.5,Degree-based,0.0029324039996936335,96.4908,0.0
BA,0.5,Betweenness,0.011171879999892553,99.324,0.0
BA,0.5,PageRank,0.003276118000030692,82.27755,0.0
BA,0.5,Greedy_ES_initial,0.4030915740004275,80.98695,0.0
BA,0.5,Greedy_ES_final,1.0833158659997935,80.57025,0.0
BA,0.5,Greedy_MIS_initial,0.34650776279995626,132.804855,1.615616299504621
BA,0.5,Greedy_MIS_final,12.0062885870002,80.788455,0.9111615168152132
BA,0.5,REGA,8.049689097999362,81.6273,0.0
BA,0.5,grasp,6.273485151999921,80.89245,0.0
BA,0.5,grasp_path_relink,6.539294198000789,80.325,0.0
BA,0.6000000000000001,Degree-based,0.0022442980007326696,156.24225,0.0
BA,0.6000000000000001,Betweenness,0.010940280999420793,157.3641,0.0
BA,0.6000000000000001,PageRank,0.0031010359998617787,127.12455,0.0
BA,0.6000000000000001,Greedy_ES_initial,0.49480788000073517,124.65045,0.0
BA,0.6000000000000001,Greedy_ES_final,1.1539643039996008,125.5482,0.0
BA,0.6000000000000001,Greedy_MIS_initial,0.3782002152998757,228.79386,2.038737510666829
BA,0.6000000000000001,Greedy_MIS_final,16.318916017000447,121.62384,1.5722393737596063
BA,0.6000000000000001,REGA,8.437380540999584,124.524,0.0
BA,0.6000000000000001,grasp,8.149446118999549,123.18885,0.0
BA,0.6000000000000001,grasp_path_relink,8.328867259000617,120.80205,0.0
BA,0.7000000000000001,Degree-based,0.004304295000110869,267.4503,0.0
BA,0.7000000000000001,Betweenness,0.012359125999864773,253.39455,0.0
BA,0.7000000000000001,PageRank,0.004083277000972885,197.89965,0.0
BA,0.7000000000000001,Greedy_ES_initial,0.4281189749999612,199.5732,0.0
BA,0.7000000000000001,Greedy_ES_final,1.7544474129990704,190.998,0.0
BA,0.7000000000000001,Greedy_MIS_initial,0.39857472960011364,398.307555,11.532605712705392
BA,0.7000000000000001,Greedy_MIS_final,21.052517712001645,182.235015,0.6353850545338642
BA,0.7000000000000001,REGA,8.881402740998965,189.10395,0.0
BA,0.7000000000000001,grasp,11.01020317900111,190.99305,0.0
BA,0.7000000000000001,grasp_path_relink,10.36401830199975,183.17025,0.0
BA,0.8,Degree-based,0.0037495790002139984,480.6756,0.0
BA,0.8,Betweenness,0.013349098999242415,420.50475,0.0
BA,0.8,PageRank,0.004467700000532204,315.97875,0.0
BA,0.8,Greedy_ES_initial,0.4075806319997355,479.29725,0.0
BA,0.8,Greedy_ES_final,2.2950372220002464,290.2113,0.0
BA,0.8,Greedy_MIS_initial,0.3923660120999557,715.3109099999999,21.48894067622692
BA,0.8,Greedy_MIS_final,26.480567706999864,283.61133,1.1326272262311212
BA,0.8,REGA,9.32708444399941,283.2129,0.0
BA,0.8,grasp,10.430337881000014,284.23665,0.0
BA,0.8,grasp_path_relink,12.429125643000589,283.48875,0.0
BA,0.9,Degree-based,0.005194765000851476,889.99785,0.0
BA,0.9,Betweenness,0.013545540001359768,702.02745,0.0
BA,0.9,PageRank,0.005970411000816966,509.75055,0.0
BA,0.9,Greedy_ES_initial,0.40161885100133077,844.0443,0.0
BA,0.9,Greedy_ES_final,2.689822542000911,418.98195,0.0
BA,0.9,Greedy_MIS_initial,0.42249596949968693,1226.42199,2.4493932700568783
BA,0.9,Greedy_MIS_final,31.52849556000001,419.90562,1.2305672420067182
BA,0.9,REGA,10.017981074001,474.89805,0.0
BA,0.9,grasp,11.66966650500035,420.19065,0.0
BA,0.9,grasp_path_relink,14.026271941000232,421.30935,0.0
BA,1.0,Degree-based,0.0058146310002484825,1493.54865,0.0
BA,1.0,Betweenness,0.01527044499925978,1073.9718,0.0
BA,1.0,PageRank,0.0059445940005389275,747.49815,0.0
BA,1.0,Greedy_ES_initial,0.3832511010004964,2703.16755,0.0
BA,1.0,Greedy_ES_final,3.8474489730015193,836.89785,0.0
BA,1.0,Greedy_MIS_initial,0.4472428589000629,2051.4852,444.1729019597138
BA,1.0,Greedy_MIS_final,33.26432753500012,612.892845,60.74648087188858
BA,1.0,REGA,10.10297256999911,573.97005,0.0
BA,1.0,grasp,14.95099081599983,602.7489,0.0
BA,1.0,grasp_path_relink,14.932830589001242,677.77335,0.0
