model,p,algo,time,epc,epc_std
ER,0.0,Degree-based,4.02724539999997,0.0,0.0
ER,0.0,Betweenness,0.09315040000001318,0.0,0.0
ER,0.0,PageRank,0.03593839999996362,0.0,0.0
ER,0.0,Greedy_ES_initial,0.05279250000000957,0.0,0.0
ER,0.0,Greedy_ES_final,1.0395157000000381,0.0,0.0
ER,0.0,Greedy_MIS_initial,0.8838859800000364,0.0,0.0
ER,0.0,Greedy_MIS_final,18.16767589999995,0.0,0.0
ER,0.0,REGA,29.75582499999996,0.0,0.0
ER,0.0,grasp,4.610656800000015,0.0,0.0
ER,0.0,grasp_path_relink,4.886086499999919,0.0,0.0
ER,0.1,Degree-based,0.008137700000020232,16.5339,0.0
ER,0.1,Betweenness,0.0843181000000186,16.8003,0.0
ER,0.1,PageRank,0.016472300000032192,16.6311,0.0
ER,0.1,Greedy_ES_initial,0.11337700000001405,17.9352,0.0
ER,0.1,Greedy_ES_final,5.053363500000046,17.13735,0.0
ER,0.1,Greedy_MIS_initial,1.1400841200000174,17.85789,0.33991647709400646
ER,0.1,Greedy_MIS_final,58.532016,17.026155,0.557599735675152
ER,0.1,REGA,31.25518009999996,16.9047,0.0
ER,0.1,grasp,6.442505600000004,16.5051,0.0
ER,0.1,grasp_path_relink,6.823778899999979,17.14995,0.0
ER,0.2,Degree-based,0.007842200000027333,49.04145,0.0
ER,0.2,Betweenness,0.07906120000006922,49.54455,0.0
ER,0.2,PageRank,0.024286899999992784,48.98025,0.0
ER,0.2,Greedy_ES_initial,0.2183785000000853,48.40785,0.0
ER,0.2,Greedy_ES_final,3.853083399999946,47.9583,0.0
ER,0.2,Greedy_MIS_initial,0.921844699999997,52.268535,1.3598239364068434
ER,0.2,Greedy_MIS_final,66.95009170000003,47.533995,0.6043672374682464
ER,0.2,REGA,36.50842330000012,47.45565,0.0
ER,0.2,grasp,10.591033800000105,49.55445,0.0
ER,0.2,grasp_path_relink,12.172084999999925,49.14585,0.0
ER,0.30000000000000004,Degree-based,0.014673000000129832,127.24875,0.0
ER,0.30000000000000004,Betweenness,0.08422410000002856,130.21785,0.0
ER,0.30000000000000004,PageRank,0.022940000000062355,128.29635,0.0
ER,0.30000000000000004,Greedy_ES_initial,0.7849573999999393,118.42605,0.0
ER,0.30000000000000004,Greedy_ES_final,7.925551400000131,118.395,0.0
ER,0.30000000000000004,Greedy_MIS_initial,1.9465026799999579,139.922955,3.568135943630097
ER,0.30000000000000004,Greedy_MIS_final,128.81860660000007,118.60870500000001,1.0659401907353898
ER,0.30000000000000004,REGA,42.468073300000015,117.36315,0.0
ER,0.30000000000000004,grasp,13.879224799999974,118.6101,0.0
ER,0.30000000000000004,grasp_path_relink,20.574686300000167,117.90405,0.0
ER,0.4,Degree-based,0.03675670000006903,352.3329,0.0
ER,0.4,Betweenness,0.11536409999985153,353.2869,0.0
ER,0.4,PageRank,0.04031729999996969,356.8023,0.0
ER,0.4,Greedy_ES_initial,2.047605499999918,306.4761,0.0
ER,0.4,Greedy_ES_final,5.921929900000123,308.69775,0.0
ER,0.4,Greedy_MIS_initial,2.0583991399999833,405.710055,10.24593444377939
ER,0.4,Greedy_MIS_final,203.11798520000002,311.984145,9.325081877641873
ER,0.4,REGA,38.637495899999976,311.0958,0.0
ER,0.4,grasp,32.37287029999993,307.1187,0.0
ER,0.4,grasp_path_relink,29.330669800000123,306.02655,0.0
ER,0.5,Degree-based,0.0724460999999792,901.6254,0.0
ER,0.5,Betweenness,0.135662800000091,878.97465,0.0
ER,0.5,PageRank,0.04398710000009487,924.64335,0.0
ER,0.5,Greedy_ES_initial,2.3775828000000274,795.77955,0.0
ER,0.5,Greedy_ES_final,11.513677400000006,794.0835,0.0
ER,0.5,Greedy_MIS_initial,2.565651650000018,1052.47305,28.600585144049056
ER,0.5,Greedy_MIS_final,402.11842120000006,790.59474,2.558303483345933
ER,0.5,REGA,57.73294110000006,789.1704,0.0
ER,0.5,grasp,41.117863599999964,790.5141,0.0
ER,0.5,grasp_path_relink,48.7116560999998,792.6624,0.0
ER,0.6000000000000001,Degree-based,0.17773510000006354,1755.11565,0.0
ER,0.6000000000000001,Betweenness,0.17376809999996112,1680.9264,0.0
ER,0.6000000000000001,PageRank,0.0997002999997676,1762.3359,0.0
ER,0.6000000000000001,Greedy_ES_initial,2.3794528999997056,2055.20715,0.0
ER,0.6000000000000001,Greedy_ES_final,47.76847799999996,1660.8978,0.0
ER,0.6000000000000001,Greedy_MIS_initial,2.8036730400000125,1933.75089,22.947429716188264
ER,0.6000000000000001,Greedy_MIS_final,538.5621596000001,1624.319865,5.801314687338101
ER,0.6000000000000001,REGA,62.68560550000029,1622.44215,0.0
ER,0.6000000000000001,grasp,74.94354639999983,1620.55125,0.0
ER,0.6000000000000001,grasp_path_relink,118.01613380000026,1626.21225,0.0
ER,0.7000000000000001,Degree-based,0.12141689999998562,2502.0054,0.0
ER,0.7000000000000001,Betweenness,0.19031689999974333,2443.17915,0.0
ER,0.7000000000000001,PageRank,0.1646571999999651,2471.09445,0.0
ER,0.7000000000000001,Greedy_ES_initial,3.3498500999999123,2420.53875,0.0
ER,0.7000000000000001,Greedy_ES_final,70.89450469999974,2233.3158,0.0
ER,0.7000000000000001,Greedy_MIS_initial,3.617144499999995,2641.565295,84.30363868878509
ER,0.7000000000000001,Greedy_MIS_final,846.3353526999999,2276.32392,66.8769212121013
ER,0.7000000000000001,REGA,79.47692050000023,2256.1857,0.0
ER,0.7000000000000001,grasp,51.79203060000009,2364.73965,0.0
ER,0.7000000000000001,grasp_path_relink,102.72944560000042,2235.4506,0.0
ER,0.8,Degree-based,0.11703810000017256,3018.80835,0.0
ER,0.8,Betweenness,0.16226869999991322,2985.0219,0.0
ER,0.8,PageRank,0.104139999999461,2926.4877,0.0
ER,0.8,Greedy_ES_initial,2.5207750999998098,2866.43565,0.0
