model,name_dist,algo,time,epc,epc_std
SW,uniform,Greedy_ES_initial,14.711967600000207,479.3908386230469,0.0
SW,uniform,Greedy_ES_final,100.88183130000016,474.129,0.0
SW,uniform,Greedy_MIS_initial,6.819852960000207,562.7471400000001,5.091542907498685
SW,uniform,Greedy_MIS_final,1250.7250588999996,439.60734,24.744976378093394
SW,normal,Greedy_ES_initial,13.774231299999883,725.214599609375,0.0
SW,normal,Greedy_ES_final,136.3909076,630.08145,0.0
SW,normal,Greedy_MIS_initial,7.660295640000095,822.402585,10.25181178533946
SW,normal,Greedy_MIS_final,1708.5577551999995,694.257345,9.621427967106792
SW,beta,Greedy_ES_initial,2.144695799999681,76.63050079345703,0.0
SW,beta,Greedy_ES_final,11.361968100000013,74.9007,0.0
SW,beta,Greedy_MIS_initial,4.157959870000013,75.12552000000001,0.8445058342604875
SW,beta,Greedy_MIS_final,181.17548800000077,74.693385,0.32866017636002437
