model,name_dist,algo,time,epc,epc_std
ER,uniform,Greedy_ES_initial,27.963284500000015,1088.439697265625,0.0
ER,uniform,Greedy_ES_final,269.1684226,835.49205,0.0
ER,uniform,Greedy_MIS_initial,8.275813359999955,1083.92157,28.55678171172479
ER,uniform,Greedy_MIS_final,2278.6714382,851.5243800000001,35.83511624521539
ER,normal,Greedy_ES_initial,13.30696450000005,857.9965209960938,0.0
ER,normal,Greedy_ES_final,188.8478298,699.03765,0.0
ER,normal,Greedy_MIS_initial,7.983613490000062,1019.079315,20.32449575445907
ER,normal,Greedy_MIS_final,1865.0831338999997,704.348865,5.1805797703562835
ER,beta,Greedy_ES_initial,4.217519900000298,88.99739837646484,0.0
ER,beta,Greedy_ES_final,25.773554299999887,89.262,0.0
ER,beta,Greedy_MIS_initial,3.8704007499999533,106.147305,0.6179062867660448
ER,beta,Greedy_MIS_final,319.13672899999983,88.900965,0.6417425071825912
