model,name_dist,algo,time,epc,epc_std
BA,uniform,Greedy_ES_initial,12.459599400000116,69.87644958496094,0.0
BA,uniform,Greedy_ES_final,32.76835050000045,69.9903,0.0
BA,uniform,Greedy_MIS_initial,3.8391627699999846,114.57494999999999,1.0583385250003918
BA,uniform,Greedy_MIS_final,416.5748155000001,69.94683,0.2960278544326537
BA,normal,Greedy_ES_initial,12.519136200000503,65.89845275878906,0.0
BA,normal,Greedy_ES_final,24.51850999999988,65.8602,0.0
BA,normal,Greedy_MIS_initial,4.024521859999913,117.022635,0.2753600007717188
BA,normal,Greedy_MIS_final,417.3214233000008,70.03953,0.3262938301592592
BA,beta,Greedy_ES_initial,3.7990566000007675,25.093799591064453,0.0
BA,beta,Greedy_ES_final,6.48693749999984,24.96825,0.0
BA,beta,Greedy_MIS_initial,2.897805579999931,34.395885,0.7697516180723495
BA,beta,Greedy_MIS_final,152.38878720000048,25.129845,0.08518119642855455
