model,p,algo,time,epc
BA,0.0,Greedy_ES_opt,0.21342870000080438,0.0
BA,0.0,Greedy_ES_non_opt,22.544838699999673,0.0
BA,0.1,Greedy_ES_opt,0.6417691999995441,7.855199813842773
BA,0.1,Greedy_ES_non_opt,29.19599929999822,8.244
BA,0.2,Greedy_ES_opt,1.6598770000018703,18.25605010986328
BA,0.2,Greedy_ES_non_opt,47.80379080000057,17.8965
BA,0.30000000000000004,Greedy_ES_opt,4.374249599997711,32.46165084838867
BA,0.30000000000000004,Greedy_ES_non_opt,93.49315479999859,33.2865
BA,0.4,Greedy_ES_opt,7.695209800000157,51.9853515625
BA,0.4,Greedy_ES_non_opt,168.8065944000009,51.705
BA,0.5,Greedy_ES_opt,11.142154199998913,80.11170196533203
BA,0.5,Greedy_ES_non_opt,270.6753806000015,78.0615
BA,0.6000000000000001,Greedy_ES_opt,13.280597999997553,123.4300537109375
BA,0.6000000000000001,Greedy_ES_non_opt,393.1204303000013,121.8195
BA,0.7000000000000001,Greedy_ES_opt,13.62779369999771,199.16549682617188
BA,0.7000000000000001,Greedy_ES_non_opt,519.2956772999969,190.8495
BA,0.8,Greedy_ES_opt,13.903256699999474,478.081787109375
BA,0.8,Greedy_ES_non_opt,639.8059619000014,289.3815
BA,0.9,Greedy_ES_opt,13.67377160000251,847.5281982421875
BA,0.9,Greedy_ES_non_opt,745.5222189000015,419.5125
BA,1.0,Greedy_ES_opt,13.032954899998003,1977.359375
BA,1.0,Greedy_ES_non_opt,869.295286499997,707.346
